  
       XFOIL         Version 6.99
  
 Calculated polar for: NACA 0012                                       
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     6.000 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
 -18.500  -1.7736   0.02708   0.02311  -0.0308   1.0000   0.0068
 -18.250  -1.7658   0.02576   0.02173  -0.0299   1.0000   0.0068
 -18.000  -1.7572   0.02457   0.02050  -0.0287   1.0000   0.0068
 -17.750  -1.7475   0.02352   0.01941  -0.0275   1.0000   0.0068
 -17.500  -1.7383   0.02251   0.01835  -0.0260   1.0000   0.0069
 -17.250  -1.7302   0.02147   0.01727  -0.0242   1.0000   0.0071
 -17.000  -1.7208   0.02058   0.01633  -0.0224   1.0000   0.0073
 -16.750  -1.7102   0.01980   0.01552  -0.0204   1.0000   0.0076
 -16.500  -1.6987   0.01912   0.01481  -0.0184   1.0000   0.0078
 -16.250  -1.6863   0.01852   0.01418  -0.0164   1.0000   0.0079
 -16.000  -1.6724   0.01798   0.01362  -0.0145   1.0000   0.0081
 -15.750  -1.6549   0.01747   0.01309  -0.0132   1.0000   0.0083
 -15.500  -1.6359   0.01700   0.01259  -0.0121   1.0000   0.0084
 -15.250  -1.6160   0.01655   0.01213  -0.0111   1.0000   0.0085
 -15.000  -1.5954   0.01613   0.01169  -0.0102   1.0000   0.0086
 -14.750  -1.5741   0.01574   0.01128  -0.0094   1.0000   0.0087
 -14.500  -1.5524   0.01536   0.01088  -0.0087   1.0000   0.0088
 -14.250  -1.5301   0.01499   0.01050  -0.0080   1.0000   0.0088
 -14.000  -1.5084   0.01456   0.01005  -0.0072   1.0000   0.0091
 -13.750  -1.4865   0.01412   0.00960  -0.0064   1.0000   0.0096
 -13.500  -1.4640   0.01372   0.00919  -0.0058   1.0000   0.0100
 -13.250  -1.4409   0.01336   0.00882  -0.0051   1.0000   0.0103
 -13.000  -1.4174   0.01302   0.00848  -0.0046   1.0000   0.0106
 -12.750  -1.3935   0.01271   0.00816  -0.0041   1.0000   0.0108
 -12.500  -1.3692   0.01242   0.00786  -0.0036   1.0000   0.0110
 -12.250  -1.3448   0.01215   0.00759  -0.0031   1.0000   0.0111
 -12.000  -1.3205   0.01186   0.00729  -0.0026   1.0000   0.0114
 -11.750  -1.2969   0.01153   0.00696  -0.0020   1.0000   0.0121
